"","year","sc1.0","sc2.1","sc2.2","sc2.3","sc3.1","sc3.2","sc4.1","sc4.2","sc5.1","sc5.2","A","B","C","D","E","F"
"39",39,1.30535247958002,644.171300188598,58.7478311035301,1917.91911731772,0.92418894871733,2.45566159955476,34.5755295383542,418.146522029362,2396.83538166004,22500,1682.80735085491,1087.59294569717,12389.321397625,13.2971895038627,1153.70992235571,12343.1573630783
"40",40,1.26278733945953,636.275339203286,53.8886089168504,1969.2602458018,0.900371831684827,2.07457477652229,32.3516165158679,442.057933546726,2446.29133436907,22500,1717.71571173594,1097.19269513819,12294.3396086413,13.4309934251678,1202.06512649607,13326.7227156694
"41",41,0.827387588551289,634.270709699879,57.7394143025543,2034.54333854575,0.656864462662638,1.8783725736657,30.3887972540679,439.599538731147,2602.43034598746,22500,1831.15071168043,1081.79307266186,12850.0160092497,10.6572731695479,1064.40163483718,14173.4218981018
"42",42,0.83544696202659,657.925999808189,53.0071221932142,2092.49704784721,0.576659666639091,1.62319990708673,28.0161954741489,423.01985793635,2591.98640722666,22500,1764.48460175196,1077.07070739228,13737.3885519565,9.8918921586443,1248.17098835693,15664.7070829053
"43",43,0.855293542678918,649.470079991064,46.0779984190517,2039.90616595392,0.532831933502305,1.41084056297437,28.6721598875316,451.622789908881,2663.65847735452,22500,1768.38119137162,1109.41752949997,13982.4701687773,10.12674601069,1222.1949349928,16058.7164201703
"44",44,0.51069792794102,639.481630470002,47.6446352074906,2126.0860322843,0.417522485693337,1.25679161064862,25.3424823487383,457.356914377807,2767.3258920794,22500,1840.47405821317,1099.85890588212,14903.3501022777,8.35566546847248,1139.68410391656,16891.2651655691
"45",45,0.511105648844476,649.870319640047,43.4837818706575,2195.58899599482,0.382559814669681,1.09807547553219,24.2290061552441,441.061919214655,2844.50925347538,22500,1866.07338201633,1101.93874755805,15217.408075199,7.94228290974409,1268.41767987917,18263.2427411021
"46",46,0.508064588396065,667.543155280717,39.6820626328161,2192.58893285377,0.331264899571278,0.933804924961637,23.4882165250998,436.899820790081,2793.25953814447,22500,1890.06413179436,1101.95288942647,15895.2088432058,7.93502770154929,1241.9907614059,19209.1699905475
"47",47,0.334774950781393,672.118211750117,42.3689995765362,2192.61270433785,0.257716047263197,0.839310635700968,22.3957419293231,464.121682563741,3000.94050581395,22500,1906.57471891382,1100.09866882139,16655.7176117245,6.43223973095093,1155.73257010219,20168.15473516
"48",48,0.310090830607469,684.723336297581,38.2445411297666,2284.15044995948,0.255891027408898,0.739355445707206,19.8244145536146,455.385077758411,2987.38590972988,22500,1928.83428182661,1107.55344008809,16657.1131843418,6.02579330162846,1262.75690676509,20088.5989519105
"49",49,0.337692626944976,686.632711756639,34.6084598613902,2328.20120490501,0.198522114333662,0.628299476725684,18.9246780652194,458.60097760199,2932.64406437847,22500,1914.07383218887,1111.1072979588,16987.4298035597,5.95004788579747,1286.00387018526,21540.3158456179
"50",50,0.207458885139791,684.194878404105,37.227580389945,2325.12793317629,0.166374204113298,0.498959352341479,17.6756298271249,464.104597640128,3087.78589620277,22500,1901.60716588728,1112.4641677863,18747.3590613412,5.2022525349683,1177.71376118216,22500
